ANIMALIA,NUMBER,ICUN  Classification
MAXILLOPODA,7,Critically Endangered (CR)
MEROSTOMATA,0,Critically Endangered (CR)
MYXINI,1,Critically Endangered (CR)
ONYCHOPHORA,3,Critically Endangered (CR)
OSTRACODA,2,Critically Endangered (CR)
POLYCHAETA,1,Critically Endangered (CR)
REPTILIA,351,Critically Endangered (CR)
SARCOPTERYGII,1,Critically Endangered (CR)
TURBELLARIA,0,Critically Endangered (CR)
ACTINOPTERYGII,10,Extinct in the Wild (EW)
AMPHIBIA,2,Extinct in the Wild (EW)
ANTHOZOA,0,Extinct in the Wild (EW)
ARACHNIDA,0,Extinct in the Wild (EW)
AVES,5,Extinct in the Wild (EW)
BIVALVIA,0,Extinct in the Wild (EW)
BRANCHIOPODA,0,Extinct in the Wild (EW)
CEPHALASPIDOMORPHI,0,Extinct in the Wild (EW)
CEPHALOPODA,0,Extinct in the Wild (EW)
CHILOPODA,0,Extinct in the Wild (EW)
CHONDRICHTHYES,0,Extinct in the Wild (EW)
CLITELLATA,0,Extinct in the Wild (EW)
DIPLOPODA,0,Extinct in the Wild (EW)
ECHINOIDEA,0,Extinct in the Wild (EW)
ENOPLA,0,Extinct in the Wild (EW)
ENTOGNATHA,0,Extinct in the Wild (EW)
GASTROPODA,14,Extinct in the Wild (EW)
HOLOTHUROIDEA,0,Extinct in the Wild (EW)
HYDROZOA,0,Extinct in the Wild (EW)
INSECTA,1,Extinct in the Wild (EW)
MALACOSTRACA,1,Extinct in the Wild (EW)
MAMMALIA,2,Extinct in the Wild (EW)
MAXILLOPODA,0,Extinct in the Wild (EW)
MEROSTOMATA,0,Extinct in the Wild (EW)
MYXINI,0,Extinct in the Wild (EW)
ONYCHOPHORA,0,Extinct in the Wild (EW)
OSTRACODA,0,Extinct in the Wild (EW)
POLYCHAETA,0,Extinct in the Wild (EW)
REPTILIA,3,Extinct in the Wild (EW)
SARCOPTERYGII,0,Extinct in the Wild (EW)
TURBELLARIA,0,Extinct in the Wild (EW)
ACTINOPTERYGII,64,Extinct (ER)
AMPHIBIA,35,Extinct (ER)
ANTHOZOA,0,Extinct (ER)
ARACHNIDA,9,Extinct (ER)
AVES,159,Extinct (ER)
BIVALVIA,32,Extinct (ER)
BRANCHIOPODA,0,Extinct (ER)
CEPHALASPIDOMORPHI,1,Extinct (ER)
CEPHALOPODA,0,Extinct (ER)
CHILOPODA,0,Extinct (ER)
CHONDRICHTHYES,0,Extinct (ER)
CLITELLATA,2,Extinct (ER)
DIPLOPODA,3,Extinct (ER)
ECHINOIDEA,0,Extinct (ER)
